,id,nombre,url_link,url_site,DA,DF,DR,PA,UR,trust_flow,is_mine,is_offer,max_links,peffer_pvp,ppvp,visits_month,sponsored_mark,language,blog_topics,country,link_type,medioTematico,medioTipo,model
118,5493,todaynewspost.com,https://todaynewspost.com/,https://panel.teblogueo.com/medios,39.0,49.0,,51.0,,15.0,False,False,1.0,208.06,228.66,,False,,,,,,,blogs.blog
119,5574,ameyawdebrah.com,https://ameyawdebrah.com,https://panel.teblogueo.com/medios,47.0,49.0,,51.0,,24.0,False,False,1.0,146.26,156.56,,False,,,,,,,blogs.blog
120,6894,PureTravel,https://www.puretravel.com/,https://panel.teblogueo.com/medios,46.0,35.0,,51.0,,30.0,False,False,1.0,166.86,177.16,,False,,,,,,,blogs.blog
121,7016,Vinetur,https://www.vinetur.com/,https://panel.teblogueo.com/medios,53.0,45.0,,51.0,,37.0,False,False,3.0,209.09,210.12,,False,,,,,,,blogs.blog
122,745,TreceBits,https://www.trecebits.com,https://panel.teblogueo.com/medios,72.0,46.0,,50.0,,16.0,False,False,2.0,820.91,898.16,1210000.0,False,,,,,,,blogs.blog
123,1400,Noticia al Día,https://www.noticialdia.com,https://panel.teblogueo.com/medios,72.0,42.0,,50.0,,20.0,False,False,4.0,84.36,87.55,,False,,,,,,,blogs.blog
124,1644,Cordópolis,https://cordopolis.eldiario.es/,https://panel.teblogueo.com/medios,89.0,0.0,,50.0,,0.0,False,False,2.0,280.16,331.66,103000.0,False,,,,,,,blogs.blog
125,1729,El   Estimulo,https://elestimulo.com/,https://panel.teblogueo.com/medios,81.0,41.0,,50.0,,17.0,False,False,2.0,530.45,537.66,337200.0,False,,,,,,,blogs.blog
126,1967,Inspira Hogar,https://inspirahogar.com/,https://panel.teblogueo.com/medios,40.0,29.0,,50.0,,19.0,False,False,2.0,89.61,94.76,79500.0,False,,,,,,,blogs.blog
127,2014,El Mañana,https://elmanana.com.mx/,https://panel.teblogueo.com/medios,70.0,23.0,,50.0,,27.0,False,False,3.0,156.56,202.91,1800000.0,False,,,,,,,blogs.blog
